player,season,contract_length
Donta Hall,2020,1
Anthony Lawrence Jr.,2020,1
Todd Withers,2020,1
Dakarai Allen,2020,1
Sagaba Konate,2020,1
Tra-Deon Hollins,2020,1
Trevon Bluiett,2020,1
Matt Farrell,2020,1
Alex Robinson,2020,1
Bryce Brown,2020,1
Simisola Shittu,2020,1
John Egbunu,2020,1
Michael Cobbins,2020,1
John Bohannon,2020,1
Juwan Morgan,2020,1
DaQuan Jeffries,2020,1
Vic Law,2020,1
Caleb Martin,2020,1
Shamorie Ponds,2020,1
William McDowell-White,2020,1
Dedric Lawson,2020,1
Shaquille Harrison,2020,1
Kavion Pippen,2020,1
Jon Davis,2020,1
Abdul Gaddy,2020,1
Tariq Owens,2020,1
Keljin Blevins,2020,1
Ronshad Shabazz,2020,1
Sir'Dominic Pointer,2020,1
Amida Brimah,2020,1
Rayjon Tucker,2020,1
Kaiser Gates,2020,1
Christ Koumadje,2020,1
Marques Bolden,2020,1
Lindell Wigginton,2020,1
Moses Brown,2020,1
Juan Toscano-Anderson,2020,1
Amir Hinton,2020,1
V.J. King,2020,1
Lamar Peters,2020,1
Isaiah Pineiro,2020,1
David Kramer,2020,1
Josh Perkins,2020,1
Kavell Bigby-Williams,2020,1
Levi Randolph,2020,1
Malik Newman,2020,1
James Palmer Jr.,2020,1
Jalen McDaniels,2020,1
Justin Simon,2020,1
Jeff Ledbetter,2020,1
Daulton Hommes,2020,1
Jordan Caroline,2020,1
Kyle Alexander,2020,1
Phil Booth,2020,1
Dakota Mathias,2020,1
Terry Larrier,2020,1
Matt Mooney,2020,1
Tyus Battle,2020,1
Barry Brown Jr.,2020,1
Jordan Murphy,2020,1
Tyler Cook,2020,1
