const,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes
1.0,22,0.8961038961038961,0.8961038961038961,2475,35.87,0.136,23.247,1,0
1.0,27,0.8472222222222222,0.8472222222222222,1782,29.213,0.164,20.2,0,0
1.0,23,0.3902439024390244,0.0609756097560975,389,12.156,0.099,15.6,0,0
1.0,27,0.9090909090909092,0.8484848484848485,1906,31.767,0.043,13.4,0,0
1.0,29,0.9318181818181818,0.0113636363636363,1532,18.683,0.085,15.312,1,0
1.0,29,0.7121212121212122,0.5,1372,29.191,0.024,15.3,0,0
1.0,22,0.3013698630136986,0.0,381,17.318,0.063,14.1,0,0
1.0,23,0.3170731707317073,0.3170731707317073,848,32.615,0.108,16.9,1,0
1.0,23,0.4756097560975609,0.0,306,7.846,0.0,6.3,0,0
1.0,31,0.425287356321839,0.0,364,9.838,0.08,9.009,1,0
1.0,21,0.6952380952380952,0.6476190476190476,1846,25.288,0.183,23.264,5,0
1.0,24,0.9315068493150684,0.6164383561643836,1716,25.235,0.128,22.294,1,0
1.0,33,1.0,0.0561797752808988,1880,21.124,0.11,13.524,1,0
1.0,23,0.3292682926829268,0.0121951219512195,189,7.0,0.102,10.6,0,0
1.0,33,0.5121951219512195,0.0121951219512195,693,16.5,0.152,18.6,0,0
1.0,34,0.6091954022988506,0.0,364,6.868,0.014,3.816,1,0
1.0,26,0.4390243902439024,0.0121951219512195,519,14.417,0.102,14.2,0,0
1.0,23,0.8055555555555556,0.8055555555555556,2036,35.103,0.099,20.7,0,0
1.0,25,0.9204545454545454,0.6818181818181818,2970,36.667,0.112,18.509,1,0
1.0,26,0.2439024390243902,0.0121951219512195,422,21.1,0.068,13.5,0,0
1.0,25,0.9534883720930232,0.0465116279069767,1472,17.951,0.14,16.423,1,0
1.0,23,0.7926829268292683,0.7804878048780488,2338,35.969,0.049,15.1,0,0
1.0,23,0.9603960396039604,0.9603960396039604,3457,35.639,0.129,18.158,2,0
1.0,27,0.8055555555555556,0.8055555555555556,1605,27.672,0.12,15.1,0,0
1.0,26,0.8048780487804879,0.1463414634146341,1111,16.833,0.134,15.5,0,0
1.0,30,0.7391304347826086,0.7391304347826086,2544,37.412,0.216,24.999,1,0
1.0,34,0.3488372093023256,0.0,245,8.167,0.099,18.871,1,0
1.0,28,0.8526315789473684,0.4631578947368421,1820,22.469,0.058,14.345,1,0
1.0,33,0.7142857142857143,0.0476190476190476,1301,21.683,0.105,18.353,1,0
1.0,31,0.8472222222222222,0.8472222222222222,2056,33.705,0.173,22.0,0,0
1.0,27,0.7682926829268293,0.7317073170731707,1879,29.825,0.079,10.5,0,0
1.0,32,0.5131578947368421,0.0394736842105263,625,16.026,0.073,14.014,1,0
1.0,22,0.6708860759493671,0.2025316455696202,860,16.226,0.123,19.167,1,0
1.0,31,0.9883720930232558,0.9883720930232558,3285,38.647,0.077,16.089,1,0
1.0,34,0.8809523809523809,0.4642857142857143,1983,26.797,0.107,13.992,1,0
1.0,31,0.7926829268292683,0.1341463414634146,1503,23.123,0.089,13.9,0,0
1.0,25,0.97,0.79,3153,32.505,0.143,22.109,2,0
1.0,32,0.987012987012987,0.1168831168831168,1427,18.776,0.131,17.633,1,0
1.0,30,0.946808510638298,0.0319148936170212,1588,17.843,0.055,9.61,1,0
1.0,30,0.3536585365853658,0.3536585365853658,867,29.897,0.066,14.2,5,0
1.0,32,0.9433962264150944,0.9339622641509434,3187,31.87,0.104,17.368,3,0
