ID,salary_perc,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_successes,player_successes,WS
walkean02,0.139,28,0.9325842696629213,0.9325842696629213,3179,38.301,0.015,16.539,1,0,0.9934374999999999
dalemsa01,0.171,23,0.8850574712643678,0.7471264367816092,1977,25.675,0.105,15.884,1,0,4.3246875
thomaku01,0.134,32,0.975609756097561,0.975609756097561,2855,35.688,0.087,14.1,0,0,5.1746875
radmavl01,0.064,24,0.7419354838709677,0.0,1978,28.667,0.096,14.173,1,0,3.956
tinslja01,0.109,26,0.5157894736842106,0.5157894736842106,1548,31.592,0.103,20.423,1,0,3.3217499999999998
battish01,0.099,26,0.9767441860465116,0.8837209302325582,2635,31.369,0.149,15.278,1,0,8.179479166666667
richaja01,0.18,24,0.8780487804878049,0.8780487804878049,2724,37.833,0.1,19.0,0,0,5.675000000000001
boganke01,0.018,24,0.9024390243902439,0.5121951219512195,1791,24.203,0.003,10.4,0,0,0.11193750000000001
doolike01,0.063,24,0.9175257731958762,0.0,1448,16.27,0.061,12.932,2,0,1.8401666666666667
parketo01,0.17,22,0.9809523809523809,0.9809523809523809,3593,34.883,0.142,21.765,5,0,10.629291666666665
kirilan01,0.222,23,0.5,0.45121951219512196,1349,32.902,0.196,24.4,0,1,5.508416666666666
finlemi01,0.376,31,0.8105263157894737,0.8105263157894737,2849,37.0,0.112,16.903,1,0,6.647666666666667
scalabr01,0.052,26,0.6744186046511628,0.19767441860465115,1228,21.172,0.058,11.078,1,0,1.4838333333333333
jonesja02,0.048,24,0.9263157894736842,0.25263157894736843,1544,17.545,0.09,12.238,1,0,2.895
bellra01,0.086,28,0.7682926829268293,0.3902439024390244,1790,28.413,0.059,12.2,0,0,2.2002083333333333
onealsh01,0.404,32,0.8865979381443299,0.8865979381443299,2923,33.988,0.212,30.13,2,2,12.909916666666666
haywobr01,0.081,25,0.8478260869565217,0.8478260869565217,2161,27.705,0.134,19.484,1,0,6.032791666666667
allenma01,0.034,26,0.43902439024390244,0.012195121951219513,519,14.417,0.102,14.2,0,0,1.1028749999999998
diopde01,0.037,23,0.47560975609756095,0.0,306,7.846,0.0,6.3,0,0,0.0
duhonch01,0.057,22,1.0,0.8863636363636364,2336,26.545,0.09,10.333,1,0,4.38
reddmi01,0.242,25,0.9146341463414634,0.9146341463414634,2848,37.973,0.104,18.3,0,0,6.1706666666666665
brownkw01,0.152,22,0.4891304347826087,0.15217391304347827,968,21.511,0.032,11.034,1,0,0.6453333333333333
marbust01,0.332,27,1.0,1.0,3281,40.012,0.171,21.9,0,0,11.688562500000002
korveky01,0.073,23,1.0,0.7126436781609196,2814,32.345,0.119,12.971,1,0,6.976375
wilkida02,0.051,25,0.3870967741935484,0.07526881720430108,656,18.222,0.092,16.042,1,0,1.2573333333333332
watsoea01,0.101,25,0.9767441860465116,0.16279069767441862,1882,22.405,0.061,13.587,1,0,2.3917083333333333
anderal01,0.002,23,0.43902439024390244,0.08536585365853659,564,15.667,0.034,10.4,0,0,0.3995
arizatr01,0.058,20,0.6951219512195121,0.12195121951219512,999,17.526,0.043,11.8,0,0,0.8949374999999998
salmojo01,0.083,26,1.0,0.2926829268292683,2059,25.11,0.04,10.7,0,0,1.7158333333333333
robincl02,0.03,39,0.946236559139785,0.13978494623655913,2061,23.42,0.072,9.993,1,0,3.0915
elsonfr01,0.056,29,0.8850574712643678,0.6436781609195402,1654,21.481,0.088,10.333,1,0,3.0323333333333333
przybjo01,0.098,26,0.6829268292682927,0.6341463414634146,1395,24.911,0.079,15.3,0,0,2.2959375
atkinch01,0.056,31,0.872093023255814,0.5232558139534884,1816,24.213,0.101,13.513,1,0,3.821166666666667
webbech01,0.344,32,0.9146341463414634,0.9146341463414634,2893,38.573,0.073,18.4,0,0,4.399770833333333
terryja01,0.152,28,0.9714285714285714,0.9714285714285714,3642,35.706,0.165,23.256,3,0,12.519375000000002
dunlemi02,0.14,25,0.9878048780487805,0.8292682926829268,2578,31.827,0.078,12.5,0,0,4.18925
mingya01,0.234,25,0.6951219512195121,0.6951219512195121,1949,34.193,0.212,25.6,0,2,8.608083333333333
wilcoch01,0.118,23,0.9390243902439024,0.2926829268292683,1529,19.857,0.138,17.3,0,0,4.395875
houseed01,0.026,27,0.9313725490196079,0.0,1551,16.326,0.054,15.621,2,0,1.7448750000000002
wallabe01,0.301,31,1.0,1.0,3532,35.32,0.168,20.255,2,5,12.362000000000002
paytoga01,0.022,37,0.9904761904761905,0.23809523809523808,2865,27.548,0.085,12.789,5,0,5.0734375
elyme01,0.062,27,0.6951219512195121,0.2682926829268293,1348,23.649,0.071,14.3,0,0,1.9939166666666666
butleca01,0.14,25,0.9204545454545454,0.6818181818181818,2970,36.667,0.112,18.509,1,0,6.93
