Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
62,Tim Hardaway*,PG,36,IND,4,0,11.8,1.3,3.8,.333,0.8,2.5,.300,0.5,1.3,.400,.433,0.0,0.0,,0.0,0.5,0.5,2.3,0.3,0.0,0.8,0.5,3.3,hardati01
63,Matt Harpring,SF,26,UTA,5,5,31.2,6.0,12.4,.484,0.2,1.4,.143,5.8,11.0,.527,.492,2.6,3.2,.813,1.8,3.6,5.4,1.0,1.0,0.2,1.6,4.6,14.8,harprma01
64,Al Harrington,SF,22,IND,6,0,17.2,1.2,5.5,.212,0.0,0.7,.000,1.2,4.8,.241,.212,0.7,1.0,.667,1.2,2.5,3.7,0.8,1.0,0.5,1.7,3.5,3.0,harrial01
65,Lucious Harris,SG,32,NJN,20,0,21.8,2.7,6.9,.391,0.6,1.7,.333,2.2,5.3,.410,.431,1.8,2.3,.783,1.0,1.7,2.6,1.6,0.5,0.0,1.1,2.0,7.8,harrilu01
66,Tyrone Hill,PF,34,PHI,10,0,14.1,1.2,1.9,.632,0.0,0.0,,1.2,1.9,.632,.632,0.4,0.4,1.000,1.2,1.6,2.8,0.2,0.1,0.1,0.6,2.9,2.8,hillty01
67,Robert Horry,PF,32,LAL,12,10,31.1,2.5,7.8,.319,0.2,3.2,.053,2.3,4.7,.500,.330,0.4,0.8,.556,1.9,4.8,6.7,3.1,1.3,1.0,1.4,3.1,5.6,horryro01
68,Troy Hudson,PG,26,MIN,6,6,36.8,7.3,17.7,.415,2.8,6.5,.436,4.5,11.2,.403,.495,6.0,6.3,.947,0.2,1.8,2.0,5.5,1.3,0.0,2.7,0.8,23.5,hudsotr01
69,Steven Hunter,C,21,ORL,7,0,5.7,0.4,1.4,.300,0.0,0.0,,0.4,1.4,.300,.300,0.0,0.4,.000,0.1,0.3,0.4,0.1,0.0,0.4,0.1,1.4,0.9,huntest01
70,Allen Iverson*,SG,27,PHI,12,12,46.4,11.4,27.4,.416,1.6,4.6,.345,9.8,22.8,.431,.445,7.3,9.8,.737,0.9,3.4,4.3,7.4,2.4,0.1,3.9,2.1,31.7,iversal01
71,Bobby Jackson,PG,29,SAC,12,0,27.6,5.3,11.5,.457,1.3,3.6,.349,4.0,7.9,.505,.511,2.6,2.9,.886,0.9,3.6,4.5,3.3,1.0,0.1,1.4,1.8,14.3,jacksbo01
72,Jim Jackson,SF,32,SAC,12,0,24.7,4.1,8.2,.500,1.1,2.3,.464,3.0,5.8,.514,.566,2.0,2.6,.774,1.3,2.6,3.9,1.2,0.7,0.3,1.4,2.8,11.3,jacksji01
73,Marc Jackson,C,28,MIN,6,0,18.3,2.8,5.3,.531,0.0,0.2,.000,2.8,5.2,.548,.531,2.7,3.2,.842,1.7,3.8,5.5,1.3,0.3,0.2,1.5,3.2,8.3,jacksma02
74,Mark Jackson,PG,37,UTA,5,0,16.6,3.0,6.0,.500,1.0,1.8,.556,2.0,4.2,.476,.583,0.2,0.2,1.000,0.4,0.6,1.0,3.2,0.6,0.0,0.8,2.2,7.2,jacksma01
75,Stephen Jackson,SG,24,SAS,24,24,33.8,4.5,10.9,.414,1.6,4.7,.336,2.9,6.2,.473,.487,2.2,2.8,.803,0.8,3.3,4.1,2.7,1.4,0.4,2.8,2.2,12.8,jacksst02
76,Casey Jacobsen,SF,21,PHO,6,0,6.5,0.3,1.7,.200,0.3,0.8,.400,0.0,0.8,.000,.300,0.0,0.3,.000,0.2,0.3,0.5,0.3,0.5,0.0,0.2,0.7,1.0,jacobca01
