const,ID,season,age,games_played_perc,games_started_perc,minutes_played,avg_minutes_played,WS48,PER,team_won_finals,team_lost_finals,team_lost_semifinals,team_lost_first_match,most_improved,most_valuable,most_valuable_finals,sixth_man,all_league
1.0,boozeca01,2014,32.0,0.9310344827586207,0.9310344827586207,2262.0,27.926,0.076,15.061,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,rondora01,2016,29.0,0.8780487804878049,0.8780487804878049,2537.0,35.236,0.087,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,prigipa01,2015,37.0,0.8484848484848485,0.030303030303030304,1490.0,17.738,0.092,13.864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,caldwke01,2017,23.0,0.926829268292683,0.9146341463414634,2529.0,33.276,0.085,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,johnsja01,2016,28.0,0.6568627450980392,0.3137254901960784,1024.0,15.284,0.067,12.405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bynumwi01,2013,30.0,0.7926829268292683,0.0,1219.0,18.754,0.067,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,vucevni01,2019,28.0,0.9770114942528736,0.9770114942528736,2657.0,31.259,0.193,26.092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,mcgeeja01,2016,28.0,0.41379310344827586,0.022988505747126436,384.0,10.667,0.143,19.881,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,maggeco01,2008,28.0,0.8536585365853658,0.7926829268292683,2502.0,35.743,0.132,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,greenwi01,2012,30.0,0.8055555555555556,0.027777777777777776,985.0,16.983,0.125,14.289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,martica02,2020,24.0,0.27692307692307694,0.015384615384615385,317.0,17.611,0.076,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,iversal01,2009,33.0,0.6951219512195121,0.6463414634146342,2093.0,36.719,0.067,15.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,turiaro01,2012,29.0,0.3258426966292135,0.1348314606741573,400.0,13.793,0.138,15.943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,portibo01,2019,23.0,0.6097560975609756,0.34146341463414637,1299.0,25.98,0.059,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,watsoea01,2010,30.0,0.9634146341463414,0.6341463414634146,2322.0,29.392,0.054,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,grayaa01,2011,26.0,0.5340909090909091,0.06818181818181818,618.0,13.149,0.099,12.573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,riverau01,2022,29.0,0.8275862068965517,0.20689655172413793,1588.0,22.056,0.039,7.645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,watsocj01,2012,27.0,0.7638888888888888,0.4166666666666667,1323.0,24.055,0.108,14.333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,milescj01,2017,29.0,0.9302325581395349,0.36046511627906974,1858.0,23.225,0.108,14.243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,grahatr01,2018,24.0,0.7682926829268293,0.024390243902439025,1050.0,16.667,0.082,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,bassbr01,2007,21.0,0.25609756097560976,0.036585365853658534,162.0,7.714,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,greenja01,2016,25.0,0.9534883720930233,0.1744186046511628,1518.0,18.512,0.086,15.417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,fraziti01,2015,24.0,0.14942528735632185,0.034482758620689655,242.0,18.615,-0.02,7.697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,grantje01,2018,23.0,0.9886363636363636,0.011363636363636364,1780.0,20.46,0.157,17.113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,mcdanja01,2020,22.0,0.24615384615384617,0.0,293.0,18.312,0.082,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,cambyma01,2004,29.0,0.8850574712643678,0.8850574712643678,2356.0,30.597,0.153,19.334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
